,sum,mean,std,len,amax,amin,planet,instrument
5.0,80.40151325093055,0.11618715787706727,1.8320237266882153,692.0,13.135380280126885,-7.630461492035446,pluto,sensex
6.0,57.01297081871029,0.07940525183664386,1.2152144277358763,718.0,5.79236618618173,-4.524677777442909,pluto,sensex
7.0,-25.90266947400175,-0.02940144094665352,1.1861228652196414,882.0,5.710963477287412,-3.7955667612144084,pluto,sensex
8.0,20.229600267119046,0.020790956081314538,1.3703791716937972,973.0,7.588229339339714,-8.260884993435303,pluto,sensex
9.0,119.73461828341772,0.11590960143602877,1.3350447298168013,1033.0,6.427830997998285,-6.883184854922176,pluto,sensex
10.0,28.862002049499303,0.032068891166110336,1.4709130023134869,900.0,11.053047602318621,-7.210031347962376,pluto,sensex
11.0,59.95038868752975,0.08663350966406033,1.4152272804431765,692.0,6.68116228503659,-6.030961625737474,pluto,sensex
12.0,118.20284156763867,0.1686203160736643,1.3586406892708338,701.0,9.13298541007963,-5.337434718677625,pluto,sensex
1.0,79.74519831754318,0.0967781532979893,1.271721396241866,824.0,9.13298541007963,-5.337434718677625,uranus,sensex
2.0,37.74615046478678,0.041433754626549704,1.4440996280206468,911.0,6.894273325090916,-6.763732616565488,uranus,sensex
3.0,7.571136627743944,0.009210628500905042,1.7354477034238107,823.0,8.221009208901297,-10.956435420653532,uranus,sensex
4.0,23.3016221155209,0.031027459541306125,1.7343182288834649,751.0,7.420698433203365,-8.260884993435303,uranus,sensex
5.0,149.98143163865495,0.20630183169003433,2.0046307720610814,727.0,17.33933438589976,-8.736535184960747,uranus,sensex
6.0,70.35109344533524,0.10007267915410419,1.6238088920720515,703.0,7.377212924156273,-7.111516448478672,uranus,sensex
7.0,69.57124986500313,0.09609288655387171,1.7785565146861924,724.0,11.053047602318621,-7.210031347962376,uranus,sensex
8.0,-4.992755560257912,-0.007152944928736264,1.485927583646835,698.0,5.65714571057625,-7.615195075164749,uranus,sensex
9.0,57.377575343134296,0.07629996721161475,1.7541012349811682,752.0,13.135380280126885,-12.768729350035358,uranus,sensex
10.0,84.62068773080009,0.11252751028031927,1.4419550321649448,752.0,6.68116228503659,-7.630461492035446,uranus,sensex
11.0,113.04891223334491,0.14346308659053922,1.2703560607770337,788.0,5.79236618618173,-4.941836136915223,uranus,sensex
12.0,4.474686275980398,0.005678535883223855,1.3413134959360145,788.0,8.254090864697371,-11.138549903646444,uranus,sensex
1.0,85.34595493887454,0.08509068289020393,1.3082281873920683,1003.0,6.535837123344823,-8.260884993435303,neptune,sensex
2.0,97.76865046364483,0.09346907310099889,1.4222964700992122,1046.0,11.053047602318621,-7.210031347962376,neptune,sensex
3.0,-9.678427820742408,-0.0140267069865832,1.5172040432563332,690.0,7.24243999564389,-7.153854983435382,neptune,sensex
4.0,81.53503748902088,0.11138666323636733,1.3429274912763562,732.0,6.68116228503659,-5.822110596284579,neptune,sensex
5.0,61.5164636383351,0.09890106694266093,1.4967915946654917,622.0,9.13298541007963,-5.337434718677625,neptune,sensex
6.0,58.24533055754694,0.08332665315815013,1.4635200498526941,699.0,8.254090864697371,-11.138549903646444,neptune,sensex
7.0,135.49572896412437,0.19780398388923265,2.078913151736424,685.0,9.287966921297919,-8.736535184960747,neptune,sensex
8.0,-22.580267208340274,-0.0334027621425152,2.1025285322374203,676.0,7.420698433203365,-10.956435420653532,neptune,sensex
9.0,154.00377725701628,0.22032013913736234,2.3100910598957065,699.0,17.33933438589976,-12.768729350035358,neptune,sensex
10.0,41.891358126938,0.06142427877850147,1.427415656178225,682.0,5.79236618618173,-7.630461492035446,neptune,sensex
11.0,-13.265957191244752,-0.01698586068021095,1.1450822143819808,781.0,5.478360374351232,-4.524677777442909,neptune,sensex
12.0,22.519339282416478,0.024345231656666463,1.2303655305249601,926.0,5.710963477287412,-5.936219559476386,neptune,sensex
1.0,6.68427971018648,0.008737620536191478,1.6814357144112388,765.0,10.457371225577262,-7.630461492035446,sun,sensex
2.0,1.2912159568856385,0.0017034511304559875,1.5807563426042874,758.0,6.619075656699014,-6.883184854922176,sun,sensex
3.0,56.05525500023289,0.07647374488435592,1.4820593733174354,733.0,5.046243970773157,-7.615195075164749,sun,sensex
4.0,90.6951048459782,0.11568253169129872,1.4497463011924,784.0,7.309597359609121,-7.227564154221556,sun,sensex
5.0,-43.821108230361816,-0.058506152510496415,1.6861941441738266,749.0,9.287966921297919,-12.768729350035358,sun,sensex
6.0,92.08879890804695,0.12772371554514142,1.4949672053866254,721.0,7.420698433203365,-8.736535184960747,sun,sensex
