mars,jupiter,sum,mean,std,len,amax,amin,planet_a,planet_b,instrument
6.0,5.0,12.822106180762411,0.2249492312414458,1.145207955595461,57.0,3.928876303899731,-2.339145856511815,mars,jupiter,sensex
6.0,6.0,6.392461612364864,0.09400678841713035,1.8299599744080755,68.0,7.24243999564389,-4.594349267045239,mars,jupiter,sensex
6.0,7.0,19.473221630108945,0.3090987560334753,1.4936089481440358,64.0,5.457658686052436,-6.527775037278616,mars,jupiter,sensex
6.0,8.0,-6.336260576980989,-0.13200542868710394,1.1446297968293044,48.0,3.1377146403696488,-2.609593349194639,mars,jupiter,sensex
6.0,9.0,-5.707515527248739,-0.0815359361035534,1.4056830801580054,70.0,4.5846853778476415,-4.908439362034911,mars,jupiter,sensex
6.0,10.0,3.340935518695353,0.07262903301511636,1.5729505973346671,46.0,3.013075220326389,-3.8080897555809234,mars,jupiter,sensex
6.0,11.0,-0.8380569680294867,-0.018623488178433036,1.3228196068796458,45.0,2.8716114684137706,-2.944547481609605,mars,jupiter,sensex
6.0,12.0,21.36027740074782,0.2738497102659977,1.2607263613339963,78.0,4.151873712805965,-3.5972310165454657,mars,jupiter,sensex
7.0,1.0,10.858839365008778,0.11311291005217478,1.654799830325413,96.0,5.478360374351232,-3.2935684038897017,mars,jupiter,sensex
7.0,2.0,7.217682474150618,0.08910719103889653,1.5422110025503155,81.0,5.170532507246994,-3.535754824063564,mars,jupiter,sensex
7.0,3.0,13.308702297673538,0.24645744995691737,1.4584608331943112,54.0,3.779907055587084,-3.910848317943749,mars,jupiter,sensex
7.0,4.0,-2.9057534143987933,-0.0660398503272453,1.2508584931472035,44.0,3.219518769295293,-3.3949090279409733,mars,jupiter,sensex
7.0,5.0,8.757322233878694,0.13070630199818947,1.8977204157043333,67.0,6.68116228503659,-8.411099564783475,mars,jupiter,sensex
7.0,6.0,12.318354764389607,0.15207845388135316,2.0621758126998837,81.0,6.619075656699014,-4.972408955232355,mars,jupiter,sensex
7.0,7.0,-4.595982829637433,-0.08511079314143394,1.5703870194498233,54.0,3.364948486319985,-3.599647629430369,mars,jupiter,sensex
7.0,8.0,8.539674115547061,0.14723576061288038,1.4195630524559077,58.0,4.217850287907865,-3.284816471029395,mars,jupiter,sensex
7.0,9.0,12.253509520632456,0.20087720525626976,1.3213982844031114,61.0,4.26255188536715,-3.8286782618548454,mars,jupiter,sensex
7.0,10.0,12.697541081733347,0.21892312209885081,1.4817286972684411,58.0,5.492834584268613,-3.678802067068021,mars,jupiter,sensex
